1;391;49;1;1;0;1;4
3;3188;0;51;16;0;16;6
2;4685;96;0;0;0;0;16
2;12045;96;0;0;0;0;16
2;5635;69;27;9;0;9;16
1;11398;65;18;6;0;6;15
1;6529;41;9;3;0;3;11
2;6358;50;0;0;0;0;16
1;459;50;0;0;0;0;9
1;153;50;0;0;0;0;0
2;13806;56;19;5;0;5;16
1;2702;66;0;0;0;0;14
2;5078;19;31;11;0;11;16
1;473;50;0;0;0;0;4
2;4414;115;0;0;0;0;16
1;359;72;0;0;0;0;1
3;252;0;52;14;0;14;4
3;268;0;51;21;0;21;4
2;3171;34;53;16;0;16;16
2;11179;30;54;19;0;19;16
3;1418;0;70;26;0;26;5

8 zlych 3 poli 5 pieniedzy


1;305;50;0;0;0;0;3
3;3818;0;82;27;0;27;9
3;3239;0;77;24;0;24;13
3;2756;0;98;28;0;28;8
2;7758;55;23;9;0;9;18
1;9;50;0;0;0;0;0
2;13587;55;6;2;0;2;18
1;5791;18;80;23;0;23;15
1;3944;54;7;1;1;0;14
2;5937;65;5;1;0;1;18
3;472;0;50;16;0;16;3
2;11975;111;8;3;0;3;18
1;2885;77;0;0;0;0;12
1;3747;56;22;8;0;8;16
1;2027;17;33;11;0;11;11
1;244;50;0;0;0;0;2
1;134;50;0;0;0;0;5
1;7057;62;33;9;0;9;17
1;4501;31;47;17;0;17;16
1;1181;2;48;14;0;14;12
1;455;45;5;1;0;1;5
1;872;79;0;0;0;0;12
2;3415;92;4;2;0;2;18
3;307;0;52;20;0;20;7
2;7143;40;10;3;0;3;18
2;5388;16;59;18;0;18;18
2;6586;50;0;0;0;0;18
2;7894;68;0;0;0;0;18
2;6649;15;75;21;0;21;18
2;5872;102;7;2;0;2;18
1;7211;80;0;0;0;0;17

9 zlych 3 poli 5 pieniedzy 


1;7889;114;1;1;0;1;12
1;212;50;0;0;0;0;1
3;1332;0;51;15;0;15;2
2;11899;27;59;21;0;21;18
2;10265;47;34;14;0;14;18
3;5682;0;52;13;0;13;14
2;5686;49;1;1;0;1;18
1;333;50;0;0;0;0;0
3;654;0;54;17;0;17;4
2;9860;61;19;3;1;2;18
1;2594;14;36;16;0;16;9
3;4823;0;52;14;0;14;11
1;11692;55;49;17;0;17;16
1;319;50;0;0;0;0;6
2;8120;50;0;0;0;0;18
3;4011;0;50;17;0;17;12
1;596;50;0;0;0;0;6
2;17017;103;0;0;0;0;18
1;4338;61;18;5;0;5;15
3;4589;0;54;20;0;20;12
2;13364;67;25;10;0;10;18
3;708;0;52;18;0;18;3
1;984;50;0;0;0;0;9
1;6262;59;15;6;0;6;14
3;1870;0;51;20;0;20;4
2;9540;45;46;16;0;16;18
2;9488;66;0;0;0;0;18
2;23010;69;5;2;0;2;18
1;7646;66;12;5;0;5;15
1;12168;59;15;5;0;5;17


9 zlych 2 poli 5 pieniedzy

1;1658;50;0;0;0;0;10
3;1581;0;51;17;0;17;5
1;7386;21;29;11;0;11;16
1;133;50;0;0;0;0;0
2;10570;43;43;14;0;14;18
3;3350;0;52;16;0;16;11
1;8717;50;0;0;0;0;15
3;1267;0;52;17;0;17;5
1;2662;94;0;0;0;0;6
1;4390;79;0;0;0;0;9
2;10255;28;34;11;0;11;18
3;1352;0;54;17;0;17;8
2;23945;72;4;2;0;2;18
1;980;43;7;2;0;2;9
3;263;0;50;16;0;16;3
3;4029;0;50;13;0;13;9
1;3390;50;0;0;0;0;13
1;6609;48;30;8;0;8;9
1;2415;86;6;2;0;2;9
1;23065;50;0;0;0;0;17
2;9191;26;24;8;0;8;18
1;2972;32;18;5;0;5;14
3;787;0;50;16;0;16;4
3;2354;0;52;16;0;16;7
2;6658;69;0;0;0;0;18
1;4172;34;16;4;0;4;17
2;20271;6;44;14;0;14;18
2;11298;77;43;12;0;12;18
1;1033;54;7;2;0;2;2
1;4238;50;0;0;0;0;15
1;765;46;30;9;0;9;8
1;1205;65;0;0;0;0;6
1;9853;57;12;3;0;3;17

9 zlych 2 poli 3 pieniadze 


1;1391;54;11;4;0;4;5
1;1711;59;8;3;0;3;11
1;3467;68;0;0;0;0;10
1;8482;12;38;13;0;13;18
3;6377;0;53;18;0;18;18
3;1304;0;51;20;0;20;10
3;4392;0;76;22;0;22;7
1;2543;4;46;12;0;12;9
1;7098;61;7;2;0;2;16
1;5290;40;10;1;1;0;18
2;14134;49;18;8;0;8;20
3;2455;0;53;17;0;17;6
1;1435;65;0;0;0;0;12
2;13070;16;34;15;0;15;20
2;14573;87;14;5;0;5;20
1;3819;40;10;3;0;3;14
1;7511;10;40;14;0;14;14
1;875;67;0;0;0;0;9
1;1712;61;0;0;0;0;7
3;793;0;50;16;0;16;1
1;10052;62;0;0;0;0;19
1;5;50;0;0;0;0;1
3;1289;0;52;18;0;18;12
2;12005;4;65;20;0;20;20
2;9919;33;40;12;0;12;20
2;13534;74;17;5;0;5;20
2;7765;66;2;1;0;1;20
1;23489;71;0;0;0;0;19
3;9142;0;67;20;0;20;18
1;160;50;0;0;0;0;2
1;10745;72;0;0;0;0;19
2;3625;50;0;0;0;0;20

10zlych 2 poli 3 pieniadze 


1;558;78;0;0;0;0;14
2;5842;53;25;8;0;8;30
2;5536;50;0;0;0;0;30
3;689;0;54;21;0;21;8
2;3592;40;10;5;0;5;30
2;7779;37;13;5;0;5;30
1;656;50;0;0;0;0;17
2;5658;50;0;0;0;0;30
1;2851;65;1;1;0;1;26
3;1823;0;51;20;0;20;22
2;2821;35;43;13;0;13;30
1;3789;85;0;0;0;0;29
1;2072;50;0;0;0;0;29
1;4479;70;0;0;0;0;29
1;3;50;0;0;0;0;0
1;108;50;0;0;0;0;4
2;10088;35;43;17;0;17;30
3;511;0;50;17;0;17;10
3;1053;0;51;20;0;20;18
1;5641;45;5;1;0;1;29
2;5849;44;6;2;0;2;30
3;461;0;50;18;0;18;6
2;7800;61;16;5;0;5;30
1;3610;51;17;7;0;7;24
1;2360;95;3;1;0;1;27
2;5164;67;13;5;0;5;30
1;333;45;5;2;0;2;7
1;835;15;35;12;0;12;12
1;315;50;0;0;0;0;7
1;919;50;0;0;0;0;18

15 zlych 5 poli 3 pieniadze 


3;887;0;50;18;0;18;13
3;1073;0;50;19;0;19;31
2;7260;50;0;0;0;0;50
3;390;0;52;17;0;17;23
2;7066;64;1;1;0;1;50
3;827;0;50;19;0;19;32
1;585;73;0;0;0;0;26
3;2163;0;50;21;0;21;35
2;7320;32;18;7;0;7;50
1;1398;18;32;11;0;11;37
3;475;0;54;19;0;19;4
1;1920;14;36;9;0;9;43
1;3230;87;7;2;0;2;43
2;6393;36;14;6;0;6;50
1;6353;30;20;5;0;5;47
1;1903;41;29;10;0;10;38
1;1627;67;2;1;0;1;25
3;848;0;52;18;0;18;24
2;4374;6;74;21;1;20;50
1;665;96;5;2;0;2;29
1;362;50;0;0;0;0;7
2;9682;37;41;12;0;12;50
2;9198;6;44;13;0;13;50
1;377;50;0;0;0;0;18
1;1794;58;13;4;0;4;40
1;167;50;0;0;0;0;13
3;973;0;52;15;0;15;19
1;1217;39;11;3;0;3;28
2;11426;79;6;2;0;2;50
3;1676;0;52;16;0;16;36
1;1;50;0;0;0;0;0
3;490;0;51;16;0;16;25

25 zlych 5 poli 3 pieniadze 


3;2951;0;51;23;0;23;16
1;988;50;0;0;0;0;10
3;3984;0;50;16;0;16;18
1;931;43;7;3;0;3;2
2;10324;16;34;12;0;12;30
1;2526;50;0;0;0;0;15
3;1061;0;50;9;3;6;7
1;1166;50;0;0;0;0;7
1;13851;12;49;15;0;15;28
1;6227;9;41;12;0;12;24
2;14476;46;30;8;0;8;30
3;2206;0;51;16;1;15;6
3;1042;0;51;20;0;20;10
1;7541;95;4;1;0;1;23
2;12956;15;47;19;0;19;30
1;2148;41;39;15;0;15;9
1;14782;85;2;2;0;2;27
3;7856;0;72;25;0;25;24
1;2268;42;8;3;0;3;13
1;9182;7;43;12;0;12;27
3;2137;0;68;25;0;25;12
1;15649;48;27;8;0;8;28
2;12467;33;31;8;0;8;30
3;11147;0;53;18;0;18;27
1;243;50;0;0;0;0;2
3;478;0;52;17;0;17;4
1;4161;48;27;9;0;9;22
2;26033;74;30;7;0;7;30
2;15236;78;10;4;0;4;30
1;2444;1;49;19;0;19;14
2;15601;5;59;19;0;19;30

15 zlych 2 poli (pole widzenia 1) 3 pieniadze
